Local time,Open,High,Low,Close,Volume
14.10.2024 02:47:00.000 GMT+0200,5809.240,5809.373,5809.111,5809.126,0.0027
14.10.2024 02:48:00.000 GMT+0200,5808.873,5808.927,5808.626,5808.927,0.0033
14.10.2024 02:49:00.000 GMT+0200,5808.632,5808.864,5808.632,5808.864,0.0013
14.10.2024 02:50:00.000 GMT+0200,5808.617,5809.629,5808.617,5809.617,0.0107
14.10.2024 02:51:00.000 GMT+0200,5809.364,5809.487,5809.123,5809.370,0.0067
14.10.2024 02:52:00.000 GMT+0200,5809.252,5809.614,5809.117,5809.614,0.0054
14.10.2024 02:53:00.000 GMT+0200,5809.370,5809.614,5809.123,5809.367,0.0047
14.10.2024 02:54:00.000 GMT+0200,5809.484,5809.743,5809.367,5809.623,0.0047
14.10.2024 02:55:00.000 GMT+0200,5809.361,5809.626,5809.361,5809.626,0.004
14.10.2024 02:56:00.000 GMT+0200,5809.746,5809.873,5809.367,5809.677,0.006
14.10.2024 02:57:00.000 GMT+0200,5809.484,5810.493,5809.484,5810.129,0.0094
14.10.2024 02:58:00.000 GMT+0200,5809.870,5809.927,5809.623,5809.626,0.006
14.10.2024 02:59:00.000 GMT+0200,5809.382,5809.620,5809.373,5809.620,0.0027
14.10.2024 03:00:00.000 GMT+0200,5809.361,5809.882,5809.120,5809.373,0.0094
14.10.2024 03:01:00.000 GMT+0200,5809.481,5809.677,5809.111,5809.427,0.0134
14.10.2024 03:02:00.000 GMT+0200,5809.626,5809.626,5809.379,5809.379,0.0013
14.10.2024 03:03:00.000 GMT+0200,5809.246,5809.617,5809.246,5809.364,0.0027
14.10.2024 03:04:00.000 GMT+0200,5809.240,5809.373,5807.379,5807.876,0.0208
14.10.2024 03:05:00.000 GMT+0200,5807.737,5808.370,5807.117,5808.129,0.0107
14.10.2024 03:06:00.000 GMT+0200,5807.993,5808.126,5807.677,5807.861,0.004
14.10.2024 03:07:00.000 GMT+0200,5808.129,5808.623,5808.111,5808.382,0.0087
14.10.2024 03:08:00.000 GMT+0200,5808.620,5808.632,5807.876,5808.361,0.0067
14.10.2024 03:09:00.000 GMT+0200,5808.123,5808.876,5807.614,5808.873,0.0174
14.10.2024 03:10:00.000 GMT+0200,5808.731,5808.879,5808.547,5808.632,0.0033
14.10.2024 03:11:00.000 GMT+0200,5808.367,5808.626,5808.111,5808.382,0.0094
14.10.2024 03:12:00.000 GMT+0200,5808.240,5808.623,5807.870,5808.373,0.0087
14.10.2024 03:13:00.000 GMT+0200,5808.632,5809.864,5808.361,5809.626,0.0127
14.10.2024 03:14:00.000 GMT+0200,5809.752,5809.882,5809.376,5809.632,0.0067
14.10.2024 03:15:00.000 GMT+0200,5809.861,5809.867,5808.361,5808.617,0.0429
14.10.2024 03:16:00.000 GMT+0200,5808.740,5809.126,5808.367,5808.876,0.0328
14.10.2024 03:17:00.000 GMT+0200,5808.737,5809.870,5808.614,5809.870,0.0154
14.10.2024 03:18:00.000 GMT+0200,5809.620,5809.882,5808.873,5808.993,0.0147
14.10.2024 03:19:00.000 GMT+0200,5809.111,5809.632,5808.864,5809.177,0.0114
14.10.2024 03:20:00.000 GMT+0200,5809.249,5809.617,5808.481,5808.996,0.0214
14.10.2024 03:21:00.000 GMT+0200,5809.123,5809.123,5808.231,5808.623,0.0094
14.10.2024 03:22:00.000 GMT+0200,5808.873,5808.927,5808.364,5808.364,0.0121
14.10.2024 03:23:00.000 GMT+0200,5808.481,5808.882,5808.364,5808.870,0.0141
14.10.2024 03:24:00.000 GMT+0200,5809.120,5809.382,5808.797,5808.864,0.0141
14.10.2024 03:25:00.000 GMT+0200,5809.002,5809.382,5808.864,5808.876,0.0161
14.10.2024 03:26:00.000 GMT+0200,5808.614,5808.879,5808.614,5808.614,0.0047
14.10.2024 03:27:00.000 GMT+0200,5808.873,5809.123,5808.623,5808.623,0.0033
14.10.2024 03:28:00.000 GMT+0200,5808.370,5808.861,5808.364,5808.364,0.0107
14.10.2024 03:29:00.000 GMT+0200,5808.632,5808.873,5808.132,5808.620,0.0047
14.10.2024 03:30:00.000 GMT+0200,5808.870,5808.870,5807.611,5807.870,0.0469
14.10.2024 03:31:00.000 GMT+0200,5808.047,5808.873,5807.861,5808.677,0.0322
14.10.2024 03:32:00.000 GMT+0200,5808.487,5808.677,5807.611,5807.629,0.0342
14.10.2024 03:33:00.000 GMT+0200,5807.547,5808.117,5807.361,5807.629,0.0228
14.10.2024 03:34:00.000 GMT+0200,5807.731,5808.873,5807.731,5808.873,0.0188
14.10.2024 03:35:00.000 GMT+0200,5808.981,5809.632,5808.623,5809.111,0.0208
14.10.2024 03:36:00.000 GMT+0200,5809.243,5810.382,5809.111,5809.873,0.0208
14.10.2024 03:37:00.000 GMT+0200,5810.111,5811.126,5809.873,5810.879,0.0161
14.10.2024 03:38:00.000 GMT+0200,5810.620,5811.117,5810.111,5810.361,0.0288
14.10.2024 03:39:00.000 GMT+0200,5810.493,5811.111,5810.493,5810.861,0.0268
14.10.2024 03:40:00.000 GMT+0200,5810.614,5811.367,5810.614,5810.873,0.0188
14.10.2024 03:41:00.000 GMT+0200,5810.984,5811.427,5810.870,5811.367,0.0181
14.10.2024 03:42:00.000 GMT+0200,5811.677,5811.677,5810.364,5810.379,0.0221
